iter	Logloss
0	0.657110937
1	0.6283574267
2	0.6063551564
3	0.587599471
4	0.5722278046
5	0.5607940107
6	0.5504498651
7	0.5420712605
8	0.5346778875
9	0.5288755955
10	0.5236382334
11	0.5196255787
12	0.5159350591
13	0.512744985
14	0.5095200627
15	0.5068361857
16	0.5045652274
17	0.5024693694
18	0.5007932802
19	0.4989989447
20	0.4976301059
21	0.4963820867
22	0.4951029403
23	0.4936702478
24	0.4927344602
25	0.4916372624
26	0.490907887
27	0.489863084
28	0.4886956511
29	0.4881915275
30	0.487661498
31	0.4870515303
32	0.4860911524
33	0.4856610314
34	0.4850558188
35	0.4846627709
36	0.4839000456
37	0.483566156
38	0.4830552546
39	0.4823243115
40	0.4820513835
41	0.4816208039
42	0.481072835
43	0.4803789177
44	0.4798231568
45	0.4795144493
46	0.4788121723
47	0.4783093112
48	0.4779176683
49	0.4776692207
50	0.4774270172
51	0.4771370152
52	0.4769119605
53	0.4765770417
54	0.4762652342
55	0.4757461506
56	0.4754140051
57	0.4750403067
58	0.4748791766
59	0.4746215495
60	0.4744270263
61	0.473951918
62	0.4734525636
63	0.4731733313
64	0.4728915363
65	0.4721173647
66	0.4717727216
67	0.4715080807
68	0.4708415976
69	0.4704233551
70	0.4699154483
71	0.4692901847
72	0.4690461268
73	0.4688352236
74	0.4683980019
75	0.46797491
76	0.4675295741
77	0.4670069657
78	0.4667944787
79	0.4663422546
80	0.4658935747
81	0.4653063633
82	0.4646551462
83	0.4645197587
84	0.4641669969
85	0.4638052364
86	0.4635320112
87	0.4633649201
88	0.4632526555
89	0.4627005374
90	0.4624486206
91	0.4623354169
92	0.4620362747
93	0.4619294621
94	0.4615850435
95	0.4611493609
96	0.4606130847
97	0.4601807333
98	0.4597633706
99	0.4594241615
100	0.4588405522
101	0.4585269902
102	0.4584085195
103	0.4581824532
104	0.4577780333
105	0.4570092225
106	0.4565849875
107	0.4564147779
108	0.4560652591
109	0.4557825361
110	0.4555018344
111	0.4553905506
112	0.4551881109
113	0.4549243617
114	0.4546676972
115	0.4540043137
116	0.4537451809
117	0.4532100905
118	0.4527131004
119	0.4523071291
120	0.4521937817
121	0.451728005
122	0.4512045103
123	0.4509106165
124	0.4507896086
125	0.4505724703
126	0.4501184482
127	0.4499488456
