iter	Passed	Remaining
0	172	103588
1	266	79628
2	363	72300
3	457	68179
4	607	72266
5	705	69844
6	805	68243
7	904	66922
8	1000	65679
9	1096	64668
10	1188	63621
11	1319	64678
12	1407	63537
13	1508	63147
14	1611	62865
15	1715	62604
16	1819	62385
17	1916	61970
18	2033	62188
19	2134	61898
20	2231	61537
21	2336	61374
22	2440	61225
23	2546	61111
24	2641	60752
25	2745	60620
26	2838	60236
27	2940	60070
28	3039	59840
29	3128	59440
30	3218	59066
31	3312	58805
32	3396	58362
33	3485	58028
34	3571	57659
35	3653	57234
36	3754	57132
37	3840	56794
38	3930	56543
39	4033	56467
40	4122	56202
41	4209	55930
42	4297	55664
43	4389	55466
44	4487	55348
45	4583	55196
46	4687	55156
47	4792	55112
48	4892	55015
49	4989	54881
50	5083	54725
51	5165	54439
52	5245	54138
53	5340	54003
54	5430	53807
55	5524	53666
56	5614	53487
57	5714	53403
58	5800	53185
59	5892	53032
60	5978	52826
61	6075	52723
62	6176	52646
63	6265	52470
64	6360	52351
65	6469	52342
66	6554	52143
67	6645	51990
68	6755	51988
69	6855	51909
70	6956	51830
71	7051	51714
72	7150	51617
73	7244	51493
74	7344	51409
75	7442	51315
76	7545	51251
77	7649	51189
78	7746	51084
79	7838	50952
80	7933	50834
81	8032	50740
82	8141	50711
83	8241	50624
84	8334	50497
85	8431	50392
86	8537	50341
87	8635	50242
88	8745	50213
89	8851	50156
90	8941	50012
91	9040	49918
92	9132	49786
93	9221	49636
94	9319	49539
95	9414	49426
96	9511	49321
97	9625	49307
98	9721	49198
99	9823	49115
100	9940	49110
101	10044	49041
102	10146	48959
103	10247	48871
104	10345	48773
105	10468	48788
106	10582	48757
107	10672	48620
108	10766	48498
109	10861	48383
110	10953	48256
111	11054	48167
112	11157	48085
113	11249	47956
114	11352	47876
115	11485	47923
116	11583	47819
117	11694	47769
118	11815	47757
119	11919	47676
120	12027	47612
121	12142	47575
122	12243	47478
123	12354	47425
124	12454	47326
125	12550	47213
126	12655	47132
127	12786	47151
